round,Organization,Nom de l'entreprise,Number of employees (last value) - Date,NACE Rev.2 Code principal,Ville,Code ISO Pays,Date de création,Total de l'Actif (Dernière année) mUSD (Taux de change à la dernière date de clôture)
first,Anheuser-Busch InBev NV,ANHEUSER-BUSCH INBEV SA/NV,43465,C - Industrie manufacturière,BRUXELLES,BE,1987,232103
first,Antofagasta Minerals Plc,NA,NA,NA,NA,NA,NA,NA
first,Apax Partners LLP,APAX PARTNERS LLP,43190,K - Activités financières et d'assurance,LONDON,GB,37533,100.924966128349
first,Aramark Corporation,ARAMARK,43371,I - Hébergement et restauration,PHILADELPHIA,US,38849,13720102
first,ArcelorMittal,ARCELORMITTAL S.A.,43465,C - Industrie manufacturière,LUXEMBOURG,LU,37050,91249
first,Arup Group Ltd,ARUP GROUP LIMITED,43190,"M - Activités spécialisées, scientifiques et techniques",LONDON,GB,28249,1289.01714339256
first,AT&T,AT&T INC.,43465,J - Information et communication,DALLAS,US,30594,531864
first,AUDI AG,AUDI AG,43465,C - Industrie manufacturière,INGOLSTADT,DE,1932,75109.7478482723
first,AXA,AXA SA,43465,K - Activités financières et d'assurance,PARIS,FR,1958,1065646.31198585
first,BAE Systems Plc,BAE SYSTEMS PLC,43465,C - Industrie manufacturière,LONDON,GB,29220,31416.2716553211
first,Bain & Company Inc.,BAIN & COMPANY INC.,NA,"M - Activités spécialisées, scientifiques et techniques",BOSTON,US,NA,n.d.
first,Bajaj Group,NA,NA,NA,NA,NA,NA,NA
first,Baker & McKenzie,BAKER & MCKENZIE LLP,2018,"M - Activités spécialisées, scientifiques et techniques",CHICAGO,US,1949,n.d.
first,Banco Bilbao Vizcaya Argentaria SA,BANCO BILBAO VIZCAYA ARGENTARIA SA,43465,K - Activités financières et d'assurance,BILBAO,ES,32152,774809.295431256
first,Banco Bradesco SA,BANCO BRADESCO SA,43465,K - Activités financières et d'assurance,SAO PAULO,BR,35706,332272.99965133
first,Banco BTG Pactual,BANCO BTG PACTUAL S.A.,NA,NA,NA,BR,NA,n.d.
first,Bank Mandiri (Persero) Tbk,BANK MANDIRI (PERSERO) TBK,43465,K - Activités financières et d'assurance,JAKARTA,ID,36161,83022.7261057923
first,Bank of America Corporation,BANK of AMERICA CORPORATION,43465,K - Activités financières et d'assurance,"CHARLOTTE, NC",US,25146,2354980096
first,Barclays,BARCLAYS PLC,43465,K - Activités financières et d'assurance,LONDON,GB,1690,1438758.85356653
first,BASF SE,BASF SE,43465,C - Industrie manufacturière,LUDWIGSHAFEN AM RHEIN,DE,1865,99106.6699404716
first,Bayer AG,BAYER AG,43465,C - Industrie manufacturière,LEVERKUSEN,DE,1863,144596.39786303
first,BC Partners,BC PARTNERS LLP,43100,NA,LONDON,GB,42419,57.2315024145966
first,BCG Digital Ventures,BCG DIGITAL VENTURES PTY LTD,43465,"M - Activités spécialisées, scientifiques et techniques",MELBOURNE,AU,39799,13.7376840807444
first,Bharti Enterprises,BHARTI ENTERPRISES LIMITED,NA,S - Autres activités de services,VADODARA,IN,38677,129.433190245251
first,BlackRock Inc.,"BLACKROCK, INC",43465,K - Activités financières et d'assurance,"NEW YORK, NY",US,1988,159573
first,BMO Financial Group,BANK of MONTREAL,43404,K - Activités financières et d'assurance,TORONTO,CA,01/01/1817,588987.995212555
first,BP Plc,BP PLC,43465,C - Industrie manufacturière,LONDON,GB,1909,282176
first,Bridgewater Associates LP,"BRIDGEWATER ASSOCIATES HOLDINGS, INC.",NA,NA,WESTPORT,US,NA,n.d.
first,Brightstar Corp.,NA,NA,NA,Miami,US,1997,n.d.
first,BT Group Plc,BT GROUP PLC,43555,J - Information et communication,LONDON,GB,1846,60661.4597740173
first,Bunge Limited,BUNGE LIMITED,43465,C - Industrie manufacturière,HAMILTON,BM,1818,19425
first,CA Technologies,M&A Broadcom,2018,NA,New York,US,1976,NA
first,Canada Pension Plan Investment Board,Goverment,NA,NA,NA,NA,NA,NA
first,Canica AS,NA,NA,NA,Oslo,NO,1985,NA
first,Cargill Incorporated,CARGILL INC,NA,C - Industrie manufacturière,WAYZATA,US,1865,55800
first,Carlsberg A/S,CARLSBERG A/S,43465,C - Industrie manufacturière,COPENHAGEN V,DK,1847,18053.8089364767
first,Cassa Depositi e Prestiti S.p.a,CASSA DEPOSITI E PRESTITI,43465,K - Activités financières et d'assurance,ROME,IT,1850,486720.200111357
first,Centene Corporation,CENTENE CORP,43465,K - Activités financières et d'assurance,ST LOUIS,US,1984,30901
first,Centrica Plc,CENTRICA PLC,43465,"D - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",WINDSOR,GB,1995,26098.1288458109
first,Chevron Corporation,CHEVRON CORPORATION,43465,C - Industrie manufacturière,SAN RAMON,US,9524,253863
first,China Minsheng Investment Group,"CHINA MINSHENG INVESTMENT CO., LTD.",NA,NA,SHANGHAI,CN,NA,n.d.
first,Cisco,CISCO SYSTEMS INC,43309,C - Industrie manufacturière,SAN JOSE,US,31026,108784
first,Citi,CITIGROUP INC,43465,K - Activités financières et d'assurance,"NEW YORK, NY",US,4749,1917383.04
first,"Clayton, Dubilier & Rice LLP","CLAYTON, DUBILIER & RICE INVESTMENT HOLDINGS, L.P.",NA,NA,GRAND CAYMAN,KY,NA,n.d.
first,Clifford Chance LLP,CLIFFORD CHANCE LLP,43220,"M - Activités spécialisées, scientifiques et techniques",LONDON,GB,39022,1674.45109367371
first,Cognizant Technology Solutions,COGNIZANT TECHNOLOGY SOLUTIONS CORP,43465,J - Information et communication,TEANECK,US,32239,15913
first,Consolidated Contractors Company (CCC),CONSOLIDATED CONTRACTORS COMPANY LP,NA,NA,EDINBURGH,GB,42213,n.d.
first,Credit Suisse AG,CREDIT SUISSE GROUP AG,2019,K - Activités financières et d'assurance,ZURICH,CH,30025,n.d.
first,Crescent Group,CRESCENT GROUP,NA,NA,NA,AE,NA,n.d.
first,Daiwa Securities Group Inc.,DAIWA SECURITIES GROUP INC,43555,K - Activités financières et d'assurance,TOKYO,JP,736,190467.967198102
first,Dana Gas PJSC,DANA GAS PJSC,NA,"D - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",SHARJAH,AE,2005,3167
first,Danfoss A/S,DANFOSS A/S,43465,C - Industrie manufacturière,NORDBORG,DK,22549,6392.53822119344
first,Dangote Group,NA,NA,NA,NA,NA,NA,NA
first,Daniel Swarovski Corporation,DANIEL SWAROVSKI CORPORATION AG,2019,"M - Activités spécialisées, scientifiques et techniques",MANNEDORF,CH,25904,n.d.
first,Dassault Systèmes SA,DASSAULT SYSTEMES SE,43465,J - Information et communication,VELIZY VILLACOUBLAY,FR,1981,9130.23460078239
first,Dell Technologies,DELL TECHNOLOGIES INC.,43497,C - Industrie manufacturière,ROUND ROCK,US,41305,111820
first,Deloitte,DELOITTE NSE LLP,43251,NA,LONDON,GB,42859,4750.71729123592
first,Deutsche Bank AG,DEUTSCHE BANK AG,43465,K - Activités financières et d'assurance,FRANKFURT AM MAIN,DE,20856,1543617.6428386
first,Deutsche Börse AG,DEUTSCHE BOERSE AG,43465,K - Activités financières et d'assurance,ESCHBORN,DE,1992,185374.562911403
