Organization,Nom de l'entreprise,Number of employees (last value) - Date,NACE Rev.2 Code principal,Ville,Code ISO Pays,Date de création,Total de l'Actif (Dernière année) mUSD (Taux de change à la dernière date de clôture)
Saudi Aramco,SAUDI ARABIA OIL COMPANY (SAUDI ARAMCO) SAUDI JOINT STOCK COMPANY,43465,"M - Activités spécialisées, scientifiques et techniques",DHAHRAN (AL),SA,32460,n.d.
Suncor Energy Inc.,SUNCOR ENERGY INC.,43465,C - Industrie manufacturière,CALGARY,CA,32509,65668.9390355349
Transnet SOC Ltd,TRANSNET,42460,F - Construction,MIDRAND,ZA,32923,n.d.
VTB Bank,VTB BANK (PUBLIC JOINT-STOCK COMPANY),NA,K - Activités financières et d'assurance,ST. PETERSBURG,RU,33163,212472.615760379
SK Holdings,"SK HOLDINGS CO., LTD.",NA,J - Information et communication,SEOUL,KR,33341,107069.094174915
Qualcomm,QUALCOMM INC,43373,C - Industrie manufacturière,SAN DIEGO,US,33465,32718
PAG,PSG GROUP LIMITED,43159,K - Activités financières et d'assurance,STELLENBOSCH,ZA,34700,6936.60149473697
RGE Pte Ltd,RGE PTE. LTD.,NA,"M - Activités spécialisées, scientifiques et techniques",SINGAPORE,SG,35180,9.29247328465462
TIBCO Software Inc.,TIBCO SOFTWARE INC,41608,J - Information et communication,PALO ALTO,US,35382,2006.113
Pictet Group,PICTET EUROPE SA,NA,NA,LUXEMBOURG,LU,35853,n.d.
Salesforce,"SALESFORCE.COM, INC.",43496,J - Information et communication,SAN FRANCISCO,US,36194,30737
PayPal,"PAYPAL, INC.",37256,J - Information et communication,SAN JOSE,US,36228,278.577
Yahoo! Inc.,ALTABA INC.,NA,J - Information et communication,NEW YORK,US,36243,47553.811
SWIFT SCRL,SWIFT SCRL,NA,K - Activités financières et d'assurance,MADRID,ES,36281,n.d.
UPS,UNITED PARCEL SERVICE INC,43465,H - Transports et entreposage,ATLANTA,US,36356,50016
Handelsblatt GmbH,HANDELSBLATT GMBH,2019,J - Information et communication,DUESSELDORF,DE,36480,n.d.
Time Warner Inc.,WARNER MEDIA LLC,43100,J - Information et communication,NEW YORK,US,36560,69209
Zurich Insurance Group,ZURICH INSURANCE GROUP AG,2019,K - Activités financières et d'assurance,ZURICH,CH,36648,n.d.
Temasek International Pte Ltd,TEMASEK PTE. LTD.,NA,"M - Activités spécialisées, scientifiques et techniques",SINGAPORE,SG,36846,197.834110919416
Le Monde,LE MONDE,40543,"M - Activités spécialisées, scientifiques et techniques",PARIS,FR,36864,247.810263345741
REMA 1000,REMA 1000 AS,NA,N - Activités de services administratifs et de soutien,OSLO,NO,37054,2172.49712021649
Shell,ROYAL DUTCH SHELL PLC,40402,K - Activités financières et d'assurance,'S-GRAVENHAGE,NL,37292,270309.818435669
PwC,PRICEWATERHOUSECOOPERS LLP,43281,"M - Activités spécialisées, scientifiques et techniques",LONDON,GB,37599,2642.35333454609
PETRONAS (Petroliam Nasional Bhd),PETROLIAM NASIONAL BERHAD - BANKBOSTON BANCO MULTIPLO S.A.,2018,K - Activités financières et d'assurance,NA,BR,37610,n.d.
SICPA Holding SA,SICPA HOLDING S.A.,2018,K - Activités financières et d'assurance,NA,BR,37797,n.d.
Deutsche Welle,DEUTSCHE WELLE,NA,Q - Santé humaine et action sociale,MOSCOW,RU,38448,n.d.
France 24,FRANCE 24,40543,J - Information et communication,ISSY LES MOULINEAUX,FR,38687,74.2573771288362
The Western Union Company,WESTERN UNION CO. (THE),43465,"M - Activités spécialisées, scientifiques et techniques",DENVER,US,38765,8996.8
Roland Berger,ROLAND BERGER HOLDING GMBH,40543,"M - Activités spécialisées, scientifiques et techniques",MUENCHEN,DE,38793,398.937180803418
UC RUSAL,UC RUSAL LIMITED,NA,NA,NA,HK,39497,n.d.
The Carlyle Group,CARLYLE GROUP L.P.,43465,K - Activités financières et d'assurance,WASHINGTON,US,40742,12914.2
Workday Inc.,"WORKDAY, INC.",43496,J - Information et communication,PLEASANTON,US,40984,5520.746
Renova Group,RENOVA GRUPP,43100,G - Commerce; réparation d'automobiles et de motocycles,EKATERINBURG,RU,41232,4.47887324488163
The Times,NEWS CORPORATION,43646,C - Industrie manufacturière,NEW YORK,US,41254,15711
Politico,POLITICO,43465,J - Information et communication,BRUXELLES,BE,41382,10.0383654733952
Puma Energy Holdings,PUMA ENERGY HOLDINGS PTE. LTD.,NA,K - Activités financières et d'assurance,SINGAPORE,SG,41396,8337.243543037
UBS Group AG,UBS GROUP AG,2019,K - Activités financières et d'assurance,ZURICH,CH,41803,n.d.
Unison Capital Inc.,"UNISON CAPITAL, INC.",43465,K - Activités financières et d'assurance,CHIYODA-KU,JP,2008,18.4515031950921
Suntory Holdings Limited,SUNTORY HOLDINGS LIMITED,43465,K - Activités financières et d'assurance,KITA-KU OSAKA-SHI,JP,2009,39897.719158262
NHK (Japan Broadcasting Corporation),JAPAN BROADCASTING CORPORATION,43190,J - Information et communication,SHIBUYA-KU,JP,1950,n.d.
Orkla ASA,ORKLA ASA,43465,C - Industrie manufacturière,OSLO,NO,1654,6042.46259258688
PZU SA,POWSZECHNY ZAKLAD UBEZPIECZEN SA,43100,K - Activités financières et d'assurance,NA,PL,1803,87388.3540243507
Willis Towers Watson,WILLIS TOWERS WATSON PUBLIC LIMITED COMPANY,43465,K - Activités financières et d'assurance,DUBLIN,IE,1828,32385
Rothschild,ROTHSCHILD & CO,43465,K - Activités financières et d'assurance,PARIS,FR,1838,15126.5156023459
The Associated Press (AP),ASSOCIATED PRESS,2018,J - Information et communication,NEW YORK,US,1846,n.d.
Siemens AG,SIEMENS AG,43373,C - Industrie manufacturière,MUNCHEN,DE,1847,160808.043399453
Prudential Plc,PRUDENTIAL PLC,43465,K - Activités financières et d'assurance,LONDON,GB,1848,645749.99984324
Süddeutsche Zeitung,SUEDDEUTSCHE ZEITUNG GMBH,39082,J - Information et communication,MUENCHEN,DE,1865,177.782172181606
Schneider Electric,SCHNEIDER ELECTRIC SE,43465,C - Industrie manufacturière,RUEIL-MALMAISON,FR,1871,48386.5793823004
Wendel,WENDEL,43465,C - Industrie manufacturière,PARIS,FR,1871,16393.0877605796
CNN,"CNN AMERICA, INC.",NA,J - Information et communication,ATLANTA,US,1876,n.d.
Telenor Group,TELENOR ASA,43465,J - Information et communication,FORNEBU,NO,1885,22010.5868519545
Skanska AB,SKANSKA AB,43465,F - Construction,SOLNA,SE,1887,12984.9714625478
Philips,KONINKLIJKE PHILIPS N.V.,43465,C - Industrie manufacturière,AMSTERDAM,NL,1891,29791.7700122595
Rabobank Group,COOPERATIEVE RABOBANK U.A.,43465,K - Activités financières et d'assurance,UTRECHT,NL,1898,676050.705666184
Toshiba Corporation,TOSHIBA CORPORATION,43555,C - Industrie manufacturière,TOKYO,JP,1904,38742.7351917028
Volkswagen AG,VOLKSWAGEN AG,43465,C - Industrie manufacturière,WOLFSBURG,DE,1904,524588.884343624
Yara International ASA,YARA INTERNATIONAL ASA,43465,B - Industries extractives,OSLO,NO,1905,16656
Vattenfall AB,VATTENFALL AB,43465,"D - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",SOLNA,SE,1909,51652.2638641596
Wesfarmers Limited,WESFARMERS LIMITED,NA,C - Industrie manufacturière,PERTH,AU,1914,27297.1773378253
Volvo,AB VOLVO,43465,C - Industrie manufacturière,GOTEBORG,SE,1915,52998.2588337287
Vnesheconombank,VNESHECONOMBANK,2018,K - Activités financières et d'assurance,NEW YORK,US,1917,n.d.
State Farm Insurance Companies,STATE FARM MUTUAL AUTOMOBILE INSURANCE CO.,NA,K - Activités financières et d'assurance,BLOOMINGTON,US,1922,159865.233167
Total,TOTAL S.A.,43465,B - Industries extractives,COURBEVOIE,FR,1924,256762
Unilever,UNILEVER PLC,43465,C - Industrie manufacturière,WIRRAL,GB,1930,68077.1543045044
The Washington Post,WP CO LLC,2018,C - Industrie manufacturière,WASHINGTON,US,1933,n.d.
Publicis Groupe SA,PUBLICIS GROUPE SA,43465,"M - Activités spécialisées, scientifiques et techniques",PARIS,FR,1938,31006.6156244278
Takeda Pharmaceutical Company Limited,"TAKEDA PHARMACEUTICAL CO., LTD.",43555,C - Industrie manufacturière,"CHUO, TOKYO",JP,1943,125066.016995622
Renault-Nissan Alliance,RENAULT,43465,C - Industrie manufacturière,BOULOGNE-BILLANCOURT,FR,1945,131670.486349583
Wipro Limited,WIPRO LIMITED,NA,J - Information et communication,BANGALORE,IN,1945,12045.0386557709
Sasol Limited,SASOL LIMITED,43281,C - Industrie manufacturière,SANDTON,ZA,1950,31895.4182807729
CBS News,CBS NEWS DIVISION,NA,J - Information et communication,NEW YORK,US,1959,n.d.
The Boston Consulting Group,BOSTON CONSULTING GROUP INC,2018,"M - Activités spécialisées, scientifiques et techniques",BOSTON,US,1963,n.d.
NBCUniversal,NBCUNIVERSAL INC,NA,J - Information et communication,NEW YORK,US,1963,n.d.
SNC-Lavalin Group Inc.,SNC-LAVALIN GROUP INC,43100,"M - Activités spécialisées, scientifiques et techniques",MONTREAL,CA,1967,9485.88223899126
SAP SE,SAP SE,43465,J - Information et communication,WALLDORF,DE,1972,58957.2247089148
Sequoia Capital,SEQUOIA CAPITAL OPERATIONS LLC,2018,K - Activités financières et d'assurance,MENLO PARK,US,1972,n.d.
Statoil ASA,EQUINOR ASA,43465,B - Industries extractives,STAVANGER,NO,1972,112508
Reliance,RELIANCE INDUSTRIES LIMITED,43555,C - Industrie manufacturière,MUMBAI,IN,1973,144916.45795133
Thomson Reuters,THOMSON REUTERS CORPORATION,43465,"M - Activités spécialisées, scientifiques et techniques",TORONTO,CA,1977,17047
Bloomberg News,BLOOMBERG LP,NA,J - Information et communication,NEW YORK,US,1981,n.d.
Westpac Banking Corporation,WESTPAC BANKING CORPORATION,43373,K - Activités financières et d'assurance,SYDNEY,AU,1982,635241.321680546
Technogym SpA,TECHNOGYM S.P.A.,43465,"R - Arts, spectacles et activités récréatives",CESENA,IT,1983,692.463143936515
The Blackstone Group,THE BLACKSTONE GROUP INC,NA,K - Activités financières et d'assurance,"NEW YORK, NY",US,1985,28924.65
Der Spiegel,SPIEGEL ONLINE GMBH,40178,J - Information et communication,HAMBURG,DE,1989,9.65008905960122
Spiegel Online,SPIEGEL ONLINE GMBH,40178,J - Information et communication,HAMBURG,DE,1989,9.65008905960122
The National Commercial Bank (NCB),BANKA KOMBETARE TREGTARE SH.A.,43465,K - Activités financières et d'assurance,TIRANA,AL,1993,3940.969
Turkcell Iletisim Hizmetleri AS,TURKCELL ILETISIM HIZMETLERI A.S.,NA,J - Information et communication,ISTANBUL,TR,1993,8121.55696792528
SOCAR,STATE OIL COMPANY OF AZERBAIJAN REPUBLIC,43100,NA,TEHRAN,IR,1994,n.d.
TPG Global LLC,TPG GLOBAL LLC,2018,NA,SAN FRANCISCO,US,1994,n.d.
Suzlon Energy Limited,SUZLON ENERGY LIMITED,43190,"D - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",AHMEDABAD,IN,1995,1709.69695882732
Welspun Corp. Ltd,WELSPUN CORP LIMITED,43190,C - Industrie manufacturière,MUMBAI,IN,1995,1182.78475637441
Soros Fund Management LLC,SOROS FUND MANAGEMENT LLC,2018,N - Activités de services administratifs et de soutien,NEW YORK,US,1996,n.d.
Burda Media,BURDA MEDIA POLSKA SP. Z O.O.,43100,J - Information et communication,WARSZAWA,PL,1997,20.0311191765368
Saudi Telecom Group,SAUDI TELECOM COMPANY (SAUDI JOINT STOCK COMPANY),NA,J - Information et communication,RIYADH,SA,1998,29852.9735569538
Vestas Wind Systems A/S,VESTAS WIND SYSTEMS A/S,43465,"D - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",AARHUS,DK,1998,13624.3618654013
Sanofi,SANOFI,43465,C - Industrie manufacturière,PARIS,FR,1999,127562.224279404
The Depository Trust & Clearing Corporation (DTCC),DEPOSITORY TRUST & CLEARING CORP,2018,K - Activités financières et d'assurance,NEW YORK,US,1999,n.d.
Viking Global Investors LP,VIKING GLOBAL INVESTORS LP,2018,K - Activités financières et d'assurance,GREENWICH,US,1999,n.d.
PhosAgro,PUBLIC JOINT STOCK COMPANY PHOSAGRO,NA,C - Industrie manufacturière,MOSCOW,RU,2001,4120.05944885593
PTT Public Company Limited,PTT PUBLIC COMPANY LIMITED,NA,B - Industries extractives,"JATUJAK, BANGKOK",TH,2001,72588.5476874626
Al Arabiya,AL ARABIYA NEWS CHANNEL FZ LLC,42735,NA,DUBAI,AE,2003,n.d.
Palantir Technologies,PALANTIR TECHNOLOGIES,2018,J - Information et communication,PALO ALTO,US,2004,n.d.
Sibur,PUBLIC JOINT STOCK COMPANY SIBUR HOLDING,NA,B - Industries extractives,MOSCOW,RU,2005,18117.6786808353
SkyBridge Capital,SKYBRIDGE CAPITAL LLC,2018,K - Activités financières et d'assurance,NEW YORK,US,2005,n.d.
WPP Plc,WPP PLC,43465,"M - Activités spécialisées, scientifiques et techniques",ST HELIER,GB,2005,42996.7212293267
Ørsted,ORSTED A/S,43465,O - Administration publique,FREDERICIA,DK,2006,26777.7714110911
Forbes Media LLC,FORBES MEDIA LLC,2018,C - Industrie manufacturière,NEW YORK,US,2006,n.d.
Fox News,FOX NEWS,2009,J - Information et communication,NEW YORK,US,2006,n.d.
SUN Group,SUN GROUP CORP,43465,L - Activités immobilières,DA NANG,VN,2007,355.810554056338
Visa Inc.,VISA INC,NA,K - Activités financières et d'assurance,"SAN FRANCISCO, CA",US,2007,69225
Sompo Holdings Inc.,SOMPO HOLDINGS INC.,43190,K - Activités financières et d'assurance,TOKYO,JP,2010,112518.339640782
XL Group Plc,XL GROUP PLC,NA,K - Activités financières et d'assurance,STAMFORD,US,2011,n.d.
Edelman,EDELMAN,2018,"M - Activités spécialisées, scientifiques et techniques",PORTLAND,US,2012,n.d.
The Wall Street Journal,WALL STREET JOURNAL,NA,C - Industrie manufacturière,NEW YORK,US,2012,n.d.
The New York Times,NEW YORK TIMES CO,43464,C - Industrie manufacturière,NEW YORK,US,1896,2197.123
Swiss Reinsurance Company,SWISS REINSURANCE GROUP (US MARKET AGGREGATE),NA,K - Activités financières et d'assurance,ARMONK,US,NA,20606.245028
Syngenta International AG,NA,NA,NA,NA,NA,NA,NA
TD Bank Group,Toronto-Dominion Bank,NA,NA,NA,NA,NA,NA
The Abraaj Group,THE ABRAAJ GROUP,2019,K - Activités financières et d'assurance,LONDON,GB,NA,n.d.
Business Insider Inc.,"BUSINESS INSIDER, INC.",NA,C - Industrie manufacturière,NEW YORK,US,NA,n.d.
Fortune Magazine,FORTUNE MAGAZINE,NA,J - Information et communication,CHICAGO,US,NA,n.d.
Swiss Radio and Television (RTS),NA,NA,NA,NA,NA,NA,NA
The Guardian,THE GUARDIAN,2019,J - Information et communication,LONDON,GB,NA,n.d.
Univision,UNIVISION NETWORK,NA,J - Information et communication,NEW YORK,US,NA,n.d.
